treat	bias	n	k	subject	market	indexed	period	price	p1	p2	p3	p4
t1	u	3	3	12	2	T	16	0.3	0.6	0.6	0.7	0.7
t1	u	3	3	5	2	T	16	0.999	0.5	0.6	0.7	0.6
t1	u	3	3	17	3	T	16	0.08	0.3	0.4	0.5	0.6
t1	u	3	3	3	3	T	16	0.274	0.7	0.6	0.7	0.5
t1	u	3	3	6	3	T	16	0.275	0.4	0.3	0.3	0.4
t1	u	3	3	16	4	T	16	0.398	0.4	0.6	0.4	0.6
t1	u	3	3	13	4	T	16	0.638	0.5	0.4	0.5	0.5
t1	u	3	3	9	4	T	16	0.988	1	0.8	0.5	0.5
t1	u	3	3	4	5	T	16	0.36	1	0.7	0.9	0.8
t1	u	3	3	14	5	T	16	0.374	0.5	0.5	0.4	0.2
t1	u	3	3	2	5	T	16	0.57	0.7	0.6	0.8	0.8
t1	u	3	3	1	6	T	16	0.3	0.9	0.8	0.7	0.6
t1	u	3	3	8	6	T	16	0.35	0.7	0.7	0.6	0.5
t1	u	3	3	15	6	T	16	0.649	0.5	0.6	0.6	0.5
t1	u	3	3	7	1	T	17	0.229	0.5	0.5	0.5	0.5
t1	u	3	3	12	1	T	17	0.298	0.6	0.6	0.7	0.7
t1	u	3	3	13	1	T	17	0.499	0.5	0.4	0.5	0.5
t1	u	3	3	4	2	T	17	0.39	1	0.7	0.9	0.8
t1	u	3	3	14	2	T	17	0.998	0.5	0.5	0.4	0.2
t1	u	3	3	3	2	T	17	1	0.7	0.6	0.7	0.5
t1	u	3	3	17	3	T	17	0.35	0.3	0.4	0.5	0.6
t1	u	3	3	8	3	T	17	0.4	0.7	0.7	0.6	0.5
t1	u	3	3	6	3	T	17	0.5	0.4	0.3	0.3	0.4
t1	u	3	3	5	4	T	17	0.298	0.5	0.6	0.7	0.6
t1	u	3	3	1	4	T	17	0.3	0.9	0.8	0.7	0.6
t1	u	3	3	10	4	T	17	0.325	1	0.5	0.5	0.5
t1	u	3	3	15	5	T	17	0.33	0.5	0.6	0.6	0.5
t1	u	3	3	9	5	T	17	0.349	1	0.8	0.5	0.5
t1	u	3	3	16	5	T	17	0.5	0.4	0.6	0.4	0.6
t1	u	3	3	18	6	T	17	0.27	0.8	0.8	0.8	0.8
t1	u	3	3	11	6	T	17	0.298	1	0.5	0.4	0.1
t1	u	3	3	2	6	T	17	0.967	0.7	0.6	0.8	0.8
t1	u	3	3	13	1	T	18	0.199	0.5	0.4	0.5	0.5
t1	u	3	3	3	1	T	18	0.299	0.7	0.6	0.7	0.5
t1	u	3	3	6	1	T	18	0.299	0.4	0.3	0.3	0.4
t1	u	3	3	17	2	T	18	0.105	0.3	0.4	0.5	0.6
t1	u	3	3	18	2	T	18	0.295	0.8	0.8	0.8	0.8
t1	u	3	3	14	2	T	18	0.298	0.5	0.5	0.4	0.2
t1	u	3	3	2	3	T	18	0.29	0.7	0.6	0.8	0.8
t1	u	3	3	10	3	T	18	0.295	1	0.5	0.5	0.5
t1	u	3	3	8	3	T	18	1	0.7	0.7	0.6	0.5
t1	u	3	3	5	4	T	18	0.289	0.5	0.6	0.7	0.6
t1	u	3	3	11	4	T	18	0.699	1	0.5	0.4	0.1
t1	u	3	3	9	4	T	18	0.988	1	0.8	0.5	0.5
t1	u	3	3	7	5	T	18	0.229	0.5	0.5	0.5	0.5
t1	u	3	3	16	5	T	18	0.35	0.4	0.6	0.4	0.6
t1	u	3	3	1	5	T	18	1	0.9	0.8	0.7	0.6
t1	u	3	3	12	6	T	18	0.23	0.6	0.6	0.7	0.7
t1	u	3	3	15	6	T	18	0.33	0.5	0.6	0.6	0.5
t1	u	3	3	4	6	T	18	0.415	1	0.7	0.9	0.8
t1	u	3	3	9	1	T	19	0.288	1	0.8	0.5	0.5
t1	u	3	3	15	1	T	19	0.333	0.5	0.6	0.6	0.5
t1	u	3	3	11	1	T	19	0.849	1	0.5	0.4	0.1
t1	u	3	3	3	2	T	19	0.274	0.7	0.6	0.7	0.5
t1	u	3	3	1	2	T	19	0.28	0.9	0.8	0.7	0.6
t1	u	3	3	12	2	T	19	0.299	0.6	0.6	0.7	0.7
t1	u	3	3	10	3	T	19	0.289	1	0.5	0.5	0.5
t1	u	3	3	18	3	T	19	0.345	0.8	0.8	0.8	0.8
t1	u	3	3	8	3	T	19	0.5	0.7	0.7	0.6	0.5
t1	u	3	3	13	4	T	19	0.205	0.5	0.4	0.5	0.5
t1	u	3	3	5	4	T	19	0.299	0.5	0.6	0.7	0.6
t1	u	3	3	14	4	T	19	1	0.5	0.5	0.4	0.2
t1	u	3	3	17	5	T	19	0.275	0.3	0.4	0.5	0.6
t1	u	3	3	16	5	T	19	0.347	0.4	0.6	0.4	0.6
t1	u	3	3	2	5	T	19	1	0.7	0.6	0.8	0.8
t1	u	3	3	6	6	T	19	0.274	0.4	0.3	0.3	0.4
t1	u	3	3	4	6	T	19	0.36	1	0.7	0.9	0.8
t1	u	3	3	7	6	T	19	0.65	0.5	0.5	0.5	0.5
t1	u	3	3	17	1	T	20	0.05	0.3	0.4	0.5	0.6
t1	u	3	3	12	1	T	20	0.265	0.6	0.6	0.7	0.7
t1	u	3	3	1	1	T	20	0.28	0.9	0.8	0.7	0.6
t1	u	3	3	13	2	T	20	0.299	0.5	0.4	0.5	0.5
t1	u	3	3	8	2	T	20	1	0.7	0.7	0.6	0.5
t1	u	3	3	15	2	T	20	1	0.5	0.6	0.6	0.5
t1	u	3	3	14	3	T	20	0.298	0.5	0.5	0.4	0.2
t1	u	3	3	2	3	T	20	0.899	0.7	0.6	0.8	0.8
t1	u	3	3	16	3	T	20	1	0.4	0.6	0.4	0.6
t1	u	3	3	11	4	T	20	0.265	1	0.5	0.4	0.1
t1	u	3	3	3	4	T	20	0.299	0.7	0.6	0.7	0.5
t1	u	3	3	6	4	T	20	0.499	0.4	0.3	0.3	0.4
t1	u	3	3	18	5	T	20	0.234	0.8	0.8	0.8	0.8
t1	u	3	3	7	5	T	20	0.273	0.5	0.5	0.5	0.5
t1	u	3	3	9	5	T	20	0.288	1	0.8	0.5	0.5
t1	u	3	3	5	6	T	20	0.26	0.5	0.6	0.7	0.6
t1	u	3	3	10	6	T	20	0.295	1	0.5	0.5	0.5
t1	u	3	3	4	6	T	20	0.39	1	0.7	0.9	0.8
t1	u	3	3	18	1	T	21	0.123	0.8	0.8	0.8	0.8
t1	u	3	3	16	1	T	21	0.297	0.4	0.6	0.4	0.6
t1	u	3	3	17	1	T	21	0.8	0.3	0.4	0.5	0.6
t1	u	3	3	11	2	T	21	0.289	1	0.5	0.4	0.1
t1	u	3	3	14	2	T	21	0.298	0.5	0.5	0.4	0.2
t1	u	3	3	15	2	T	21	0.649	0.5	0.6	0.6	0.5
t1	u	3	3	10	3	T	21	0.29	1	0.5	0.5	0.5
t1	u	3	3	2	3	T	21	0.789	0.7	0.6	0.8	0.8
t1	u	3	3	13	3	T	21	0.799	0.5	0.4	0.5	0.5
t1	u	3	3	6	4	T	21	0.259	0.4	0.3	0.3	0.4
t1	u	3	3	8	4	T	21	0.298	0.7	0.7	0.6	0.5
t1	u	3	3	1	4	T	21	1	0.9	0.8	0.7	0.6
